title,url,gist1,gist2,gist3,gist4,gist5
Premier League: Record pay-out for Premier League champions Chelsea,http://timesofindia.indiatimes.com/sports/football/epl/top-stories/record-pay-out-for-premier-league-champions-chelsea/articleshow/58956811.cms,"English champions Chelsea received a record Premier League pay-out of more than £150 million ($190 million, 172 million euros) this season, nearly £60 million more than their predecessors Leicester, after new TV deals came into force.","Second-placed Tottenham Hotspur earned about £145 million -- slightly less than Manchester City and Liverpool owing to the difference in their ""facility fees"", awarded for appearances on TV.","Domestic rights to broadcast the Premier League were sold for £5.1 billion over three seasons, dwarfing the previous deal.","The Premier League also paid out nearly £220 million in ""parachute payments"" to eight teams relegated in recent seasons: Aston Villa, Cardiff, Fulham, Newcastle, Norwich, QPR, Reading and Wigan.",The Premier League's appeal to broadcasters at home and abroad has also permitted it to increase the money it distributes to grassroots facilities and projects.
"Champions Trophy: For Indian cricket team, a season of discontent",http://timesofindia.indiatimes.com/sports/cricket/champions-trophy-2017/top-stories/for-indian-cricket-team-a-season-of-discontent/articleshow/58955854.cms,"""No hard shoulder for the next 300 yards,"" screams the signage on the M40 motorway, notifying a temporary absence of the emergency lane for breakdowns.",One wonders if either one of Anil Kumble or Virat Kohli saw the irony in the sign when they made the trip to the Edgbaston cricket ground.,"It might seem that Indian cricket, in the midst of another disagreeable captain-coach saga - the threads of which are interwoven with the supposed power struggle between the Committee of Administrators and the old guard in the BCCI - is in dire need of a pit stop.","By late afternoon at Edgbaston, the Pakistan team was busy with nets and good-naturedly greeting the securitywallahs, since not too many of the genuine fans can make it to these training sessions anymore.","There seemed to be no sign of the restlessness the Indian team exhibited earlier in the day, when Kohli made his displeasure over the practice facilities known."
Telecom industry's debt at unsustainable level,http://timesofindia.indiatimes.com/business/india-business/telecom-industrys-debt-at-unsustainable-level-sbi/articleshow/58954730.cms,"The country's largest bank SBI has sounded alarm bells over troubles of the telecom industry with its chairperson Arundhati Bhattacharya writing to the government regarding ""highly unsustainable levels"" of debt of mobile companies.","""The stress in the sector has reached highly unsustainable levels after the entry of new players and launch of free services, which led to erosion of EBITDA (earnings before interest, taxes, depreciation and amortisation) of the telecom service providers,"" Bhattacharya wrote in a letter to telecom secretary Aruna Sundararajan.","The SBI chairperson said there was a need for ""immediate intervention to stem the slide"" and the government should offer a bailout deal to players.","The SBI chairperson also sought ""rationalisation of regulatory charges"" in view of the ""heavy burden of industry-specific levy"" on telecom companies.","She said against the proposed 18% GST rate, the government should bring it down to 5%, ""given the criticality of the sector to the Indian economy and cellular service becoming a necessity today""."
"sensex today: Sensex, Nifty hit fresh highs in early trade",http://timesofindia.indiatimes.com/business/india-business/sensex-nifty-hit-fresh-highs-in-early-trade/articleshow/58956195.cms,"Riding on the back of strong global markets and an early onset of monsoon, Sensex and Nifty hit fresh highs in early trade on Friday after a four day-consolidation.",Cadila Healthcare and Bharti Airtel's shares surged by 4 and 3 per cent respectively.,"On the back of steady sales, most of the auto companies, led by Hero MotoCorp also featured among the gainers.","However, Bajaj Auto's shares fell after disappointing sales figures in May.","Meanwhile, rising for the third straight day, the rupee strengthened by 14 paise to 64.34 against the US dollar in early trade."
"Rahul targets CM, says Telangana not formed for his family",http://timesofindia.indiatimes.com/india/rahul-targets-cm-says-telangana-not-formed-for-his-family/articleshow/58956511.cms,"Congress vice- president Rahul Gandhi on Thursday attacked Telangana Chief Minister K Chandrasekhar Rao, asking him whether the state was formed only for the benefit of his family.","Addressing a public meeting here, Gandhi said while it was not possible to fulfil the dreams of Telangana people in three years, the state government had not made the ""right beginning"" and it was not going in the ""right direction"".","""Has the state been created just for four people,"" Gandhi said, and alleged that the chief minister was not taking along with him students, youth, women and backward classes.",The venue of the meeting had immense sentimental value for the Congress as it was at the same location where Indira Gandhi kicked off her election campaign in 1979-80 and went on to win back the Prime Minister's post.,Congress leaders who spoke ahead of Gandhi hoped that Thursday's public meeting would herald a change and repeat history to bring the party to power.
Resorts World Manila: Dozens dead after gunman torches Philippine casino: Police,http://timesofindia.indiatimes.com/world/rest-of-world/dozens-dead-after-gunman-torches-philippine-casino-police/articleshow/58956641.cms,"Thirty-six bodies were found inside a casino in the Philippine capital on Friday after a masked man burst in with an automatic rifle and set fire to the building, triggering fears of a terrorist attack, police said.","He said the gunman only fired at a television screen and did not take aim at any people, but police later reported finding 36 bodies in the casino who apparently died from smoke inhalation.","The gunman initially disappeared into the chaos of smoke and running people, leading to a manhunt throughout the complex that ended just after dawn when he was found dead in a hotel room, according to Dela Rosa.","Before the gunmen had been killed and police had confirmed any motive, the Islamic State group claimed responsibility and US President Donald Trump also branded it a ""terrorist attack"" .","""   Philippine President Rodrigo Duterte imposed martial law last week across the southern region of Mindanao to crush what he said was a rising threat of IS there."
"Banks: ‘Banking consolidation via closure, merger soon’",http://timesofindia.indiatimes.com/business/india-business/banking-consolidation-via-closure-merger-soon/articleshow/58952564.cms,Uday Kotak has sounded the alarm on the precarious situation in the banking industry and has said that the current industry structure is not sustainable.,"""The system's inability to recognise the inconvenient truth that banking is an economic and commercial activity with high leverage, and years of 'kicking the can down the road' in high-risk areas, mixing of social objectives and weak governance, have all contributed to bringing this industry to a weak position,"" said Kotak in his letter to shareholders in Kotak Bank's annual report   Kotak said that while entry norms have been relaxed in financial services, including banking, there is a need to give more thought to ""mortality and exits in this sector with potential systemic risks"".","Highlighting finance sector trends in FY17, Kotak said that there has been a ""formalisation"" of financial savings due to positive real interest rates and demonetisation.","""We will try and play an active role in reshaping the structure of the financial services industry â be it stressed assets or consolidation.","On the organic side, we aspire to grow at, at least, two times nominal GDP growth in most of our businesses."
"Car sales steady in May, though GST uncertainty may impact June numbers",http://timesofindia.indiatimes.com/auto/miscellaneous/car-sales-steady-in-may-though-gst-uncertainty-may-impact-june-numbers/articleshow/58949801.cms,"Car sales maintained a healthy growth trajectory in May, a month that saw the government announce the much-awaited GST duty rates that saw larger SUVs and sedans becoming cheaper even as hybrids would turn out to be expensive.",Raja said that the tax rates under GST could have a negative impact on vehicle sales in June.,We expect this impact to magnify in June until the customers have a clear understanding of the final pricing post the GST roll out.,"""We expect the government to review the proposed tax structure, under GST, for greener vehicles such as electric, hybrid, etc, to achieve cleaner mobility solutions.","We do hope the Government will continue to extend the prevailing tax benefits for greener technologies which are purely based on the fuel efficiency and eco-friendliness,"" Raja said."
Internet: Indians prefer e-videos over messaging,http://timesofindia.indiatimes.com/business/india-business/indians-prefer-e-videos-over-messaging/articleshow/58954705.cms,"Indians prefer videos and songs on the internet over social media and messaging, says a report by Mary Meeker on global internet trends for 2017.",Indian broadband subscriptions are estimated to have registered more than 85% growth over the past year to 277 million users.,"Mary Meeker is a partner with venture capital firm Kleiner Perkins Caufield Byers, which invests in inter net companies, among others, and the internet trends report is a highly regarded annual publication.The significant increase in video usage has been noted also in a recent report by content delivery network firm Akamai.","The company attributed this to higher broadband speeds, which grew at one of the world's fastest rates of 81% compared to last year.","The government launched its own Unified Payments Interface (UPI) app, Bhim, to enable instant money transfer between two bank accounts, last December."
12-year-old Ananya Vinay spells 'marocain' to win the US National Spelling Bee,http://timesofindia.indiatimes.com/india/12-year-old-ananya-vinay-spells-marocain-to-win-the-national-spelling-bee/articleshow/58956086.cms,"OXON HILL, Ananya Vinay of Fresno, California won the Scripps National Spelling Bee on Thursday, taking home a $40,000 cash prize after 12 hours of picking her way along a precarious lifeline of consonants and vowels.","Competitors age 6 to 15 emerged from early spelling bees involving more than 11 million youths from all 50 US states, US territories from Puerto Rico to Guam, and several countries, from Jamaica to Japan.","In earlier rounds, some spellers tripped over words including Corriedale, toreutics, cleidoic and panettone, weeding down the field headed for the finish of the 90th national Bee.",""" exclaimed Maggie Sheridan, 13, from Mansfield, Ohio, throwing her hands up in disbelief when she learned she correctly spelled whirlicote, a type of luxurious carriage, with one second to spare.","Her mother, Michele Schaff, who homeschools her two children, said she knew her daughter had a talent for spelling when, at age 1, she labeled the family cat with wooden letters."
